sensible	'sɛnsəbl	'sensɪb(ə)l	adj::可感觉的；明智的::reasonable, practical, and showing good judgment	sensible heat::显热；焓¦sensible of::察觉；了解	She seems very sensible.::她好像很明智。¦sensible advice::合理的建议¦It’s sensible to keep a note of your passport number.::把你的护照号码记下来是明智的。¦Moving house seemed like the sensible thing to do .::搬家似乎是明智的做法。	adj::明智的；明显的；意识到的；通晓事理的::obvious, aware, distinct, wise, visible	adj::sensitive:: 敏感的；[仪] 灵敏的；感光的；易受伤害的¦adj::senseless:: 愚蠢的；无知觉的；无意识的¦adj::sensing:: 敏感的¦adj::sensate:: 可感觉的；知觉的¦adv::sensibly:: 明显地；容易感知地；聪明地¦adv::sensitively:: 敏感地；易感知地¦adv::senselessly:: 毫无知觉地；无意识地；不省人事地¦n::sense:: 感觉，官能；观念；道理；理智¦n::sensation:: 感觉；轰动；感动¦n::sensitivity:: 敏感；敏感性；过敏¦n::sensibility:: 情感；敏感性；感觉；识别力¦n::sensing:: 传感；感觉；测知¦n::sensationalist:: 感觉论者¦v::sensing:: 感觉，了解（sense的现在分词）¦vi::sensitise:: 变得敏感（等于sensitize）¦vt::sense:: 感觉到；检测¦vt::sensibilize:: 使感觉敏锐¦vt::sensitise:: 使敏感（等于sensitize）		 sens(感觉) + ible(可…的) → 可感觉到的 → 合情理的			
pole	pol	pəʊl	n::极::the most northern or most southern point on a  planet  , especially the Earth	north pole::n. 北极¦south pole::[地]南极，南极地带¦growth pole::增长极；增长点；发展轴心¦magnetic pole::[物]磁极；磁北极¦positive pole::阳极；[物]正极¦pole assignment::极点配置¦pole vault::撑竿跳，撑杆跳高¦bamboo pole::竹枝¦negative pole::n. 阴极，负极¦up the pole::adv. 进退两难¦electric pole::电极；电杆；电力高压线杆¦pole figure::极像图¦shaded pole::罩极，蔽极；屏蔽磁极¦surveyor's pole::测量标杆¦pole plate::极板¦single pole::单极¦totem pole::图腾柱；阶级，等级¦fishing pole::鱼杆，钓竿；钓鱼杆¦telephone pole::电话线杆¦salient pole::凸极	the distance from pole to equator::地极到赤道的距离	n::[建]杆；极点；电极::electrode, climax	n::poler:: 辕马；撑船者					
herd	hɝd	hɜːd	n::兽群，牧口群，牧人::a group of animals of one kind that live and feed together¦v::把赶到一起::If you herd animals, you make them move along as a group	a herd of::一群（牛、鹿等）¦herd behavior::羊群行为；羊群效应；从众行为；群体恐慌行为¦herd instinct::[心]群居本能，群体心理	You have to be an individual; it’s no use running with the herd.::你必须特立独行，随大溜没有用处。¦Stefano used a motorcycle to herd the sheep.::斯蒂芬诺骑一辆摩托车驱赶羊群。	n::兽群，畜群；放牧人::drove, menagerie¦vt::放牧；使成群::grass, feed, range	n::herder:: 牧人；（美俚）监狱看守					
stitch	stɪtʃ	stɪtʃ	n::缝纫；缝线；(肋部)突然剧痛::a short piece of thread that has been sewn into a piece of cloth, or the action of the thread going into and out of the cloth	a stitch in time::及时处理¦stitch length::针距；线圈长度；针迹长度¦cross stitch::十字缝；十字针法¦in stitches::忍不住大笑，忍俊不禁¦chain stitch::[纺]链式缝法¦a stitch of::[口语]一点儿，极少量¦stitch on::缝上¦plain stitch::平针织，平针线圈¦edge stitch::车边线；边线	He had to have ten stitches in his head.::他头上不得不缝了十针。	n::针脚，[服装]线迹；一针::steek¦vt::缝，缝合::seam, oversew¦vi::缝，缝合::sew up	n::stitching:: 缝合；针脚；绑结；压合¦n::stitcher:: 缝纫机；订书机；钉箱机；带材缝合机¦v::stitching:: 缝；固定（stitch的ing形式）		 stit(看作sit， 坐) + ch → 坐在那里做针线活 → 缝； 针脚			
slag	slæɡ	slæg	n::矿渣，炉渣，熔渣::a waste material similar to glass, which remains after metal has been obtained from rock	steel slag::钢渣¦blast furnace slag::高炉矿渣¦slag cement::矿渣水泥；熔渣水泥¦carbide slag::电石渣；碳化物炉渣¦molten slag::熔渣；熔化熔渣¦slag inclusion::夹渣；渣孔；含渣¦granulated blast furnace slag::粒状高炉矿渣¦slag removal::夹渣的清除¦coal slag::煤渣¦slag concrete::矿渣混凝土；熔渣混凝土¦vanadium slag::n. 钒渣¦welding slag::焊渣¦foamed slag::泡沫矿渣；泡沫熔渣¦ground slag::n. 矿渣粉¦slag tapping::出渣¦remaining slag::剩余熔渣		n::炉渣；[冶][环境]矿渣；熔渣::scoria, attle						
consolidate	kən'sɑlɪdet	kən'sɒlɪdeɪt	v::巩固;::to strengthen the position of power or success that you have, so that it becomes more effective or continues for longer¦加强；把::合为一体::		The company has consolidated its position as the country’s leading gas supplier.::这家公司巩固了作为该国主要煤气供应商的地位。¦The team consolidated their lead with a third goal.::球队以第三个进球巩固了领先优势。	vt::巩固，使固定；联合::cement, strengthen, connect, fix, link¦vi::巩固，加强::build up, to reinforce	adj::consolidated:: 巩固的；统一的；整理过的¦n::consolidation:: 巩固；合并；团结¦n::consolidator:: 集运商；并装业者¦v::consolidated:: 合并；巩固（consolidate的过去分词形式）；统一					
civic	'sɪvɪk	'sɪvɪk	adj::城市的；市民的::relating to a town or city	civic education::公民教育¦civic center::市中心；市府大厦¦civic centre::市中心；市政大厅¦civic virtues::n. 公民道德¦civic building::民用房屋，民用房屋	Jackson spent the day meeting with local religious and civic leaders.::杰克逊那天与当地的宗教领袖和市领导会面。	adj::市的；公民的，市民的::municipal	adj::civil:: 公民的；民间的；文职的；有礼貌的；根据民法的¦n::civics:: 公民；公民学					
clash	klæʃ	klæʃ	v&n::金属碰撞声；互碰；时间冲突；抵触::if two armies, groups etc clash, they start fighting – used in news reports	clash with::与…冲突，不调和	Troops clashed near the border.::军队在边境附近发生了冲突。	n::冲突，不协调；碰撞声，铿锵声::interference, conflict, war, collision, warfare¦vi::冲突，抵触；砰地相碰撞，发出铿锵声::tang, collide with			 物体撞碎的声音			
distract	dɪ'strækt	dɪ'strækt	v::分散(注意力等)::to take someone’s attention away from something by making them look at or listen to something else	distract from::转移；使从…分心	Try not to distract the other students.::尽量不要让其他学生分心。	vt::转移；分心::shift, divert from	adj::distracted:: 心烦意乱的；思想不集中的¦adv::distractedly:: 心烦意乱地¦n::distraction:: 注意力分散；消遣；心烦意乱¦n::distractor:: 错误选择；诱导答案¦n::distracter:: 误选项；干扰项¦v::distracted:: 分心（distract的过去式）		 dis(分开) + tract(拉) → (注意力)被拉开 → 使分心			
strap	stræp	stræp	n::皮带，带::a narrow band of strong material that is used to fasten, hang, or hold onto something¦v::用带束住；捆扎::to fasten something or someone in place with one or more straps	leather strap::皮带，皮表带¦shoulder strap::肩章；保护肩部的衬垫¦wrist strap::防静电手环，腕带¦steel strap::护顶钢板；钢板	a bra strap::胸罩肩带¦The strap of my bag is broken.::我包上的带子断了。	vt::用带捆绑；用皮条抽打；约束::restrict, hold in¦n::带；[机]皮带；磨刀皮带；鞭打::belt, band, strip	adj::strapping:: 魁梧的；高大健壮的¦adj::strapless:: 无带的；无背带的；无肩带的¦n::strapping:: 鞭打；皮带材料；裹伤胶带¦n::strapper:: 用皮绳捆的人；马夫；用磨刀皮带磨的人；体格结实而健壮的人¦v::strapping:: 用带捆扎；约束，束缚（strap的现在分词）		 和strip(n. 条， 带)一起记			
format	'fɔrmæt	'fɔːmæt	n::格式，版式；形式，方式::the way in which something such as a television show or meeting is organized or arranged	file format::[计]文件格式¦data format::数据格式¦standard format::标准格式；标准书型¦output format::[计]输出格式¦digital format::数位格式¦image format::图像格式；影像格式¦document format::n. 文档格式¦report format::报表格式¦format string::格式字符串¦message format::消息格式；报文格式¦storage format::存储格式¦general format::n. 通用格式；一般格式¦time format::n. 时间格式¦compressed format::n. 压缩格式¦binary format::二进形式，二进制格式¦fixed format::固定格式¦record format::记录格式¦word format::字格式¦date format::n. 日期格式¦picture format::[计]图片格式	The courses were run to a consistent format.::这些课程的编排是有连续性的。		adj::formative:: 形成的；造型的；格式化的¦adj::formalized:: 形式化的；正式的¦n::formative:: 构词要素¦n::formatting:: 格式化¦n::formalization:: 形式化；礼仪化¦v::formatting:: 规定…的格式（format的ing形式）¦v::formalized:: 使正式；使有效（formalize的过去分词）；使定形；拘泥于形式¦vi::formalize:: 拘泥于形式¦vt::formalize:: 使形式化；使正式；拘泥礼仪		 form(形式) + at → 固定的形式 → 版式； 格式			
company	'kʌmpəni	'kʌmp(ə)nɪ	n::伴随；人群；同伴；公司::a business organization that makes or sells goods or services	limited company::有限公司；（英）股份有限公司（等于limited-liability company）¦in company::一起；当众¦company with::奉陪；与…一起¦for company::陪伴，作伴¦trading company::贸易公司¦insurance company::保险公司¦liability company::有限公司¦company limited::有限公司¦listed company::上市公司，股票上市的公司¦group company::集团公司¦limited liability company::股份有限公司¦construction company::建筑公司¦company profile::公司简介；公司概况；企业介绍¦development company::开发公司¦power company::电力公司¦manufacturing company::制造企业，制造公司¦holding company::控股公司；股权公司¦shipping company::航运公司；船舶公司¦parent company::总公司，母公司¦company law::[经]公司法	Which company do you work for?::你在哪家公司上班？¦I called the phone company about the bill.::我就电话账单的事给电话公司打了电话。¦The company was set up just after the war.::这家公司是战后不久成立的。¦The company directors have awarded themselves a massive pay increase.::公司的董事们给自己大幅加薪。	n::[贸易]公司；陪伴，同伴；连队::corporation, establishment, firm, incorporation¦vi::交往::travel, associate, sort, mix¦vt::陪伴::attend, accompany	adj::companionable:: 好交往的；友善的；适于做朋友的¦adj::companionate:: 伙伴的，同伴的；友爱的，友好的¦n::companion:: 同伴；朋友；指南；手册¦n::companionship:: 友谊；陪伴；交谊¦vt::companion:: 陪伴					
trench	trɛntʃ	tren(t)ʃ	n::地沟::a long narrow hole dug into the surface of the ground	in the trenches::◎在第一线，在现场¦cable trench::电缆沟；电缆槽¦trench cover::沟盖板¦trench warfare::堑壕战¦trench coat::n. 军用防水短上衣¦pipe trench::管沟	Workers dug a trench for gas lines.::工人们挖了一条沟来铺设煤气管道。	n::沟，沟渠；战壕；堑壕::sulcus, reen¦vi::挖战壕；侵害::infringe upon, infringe on	adj::trencher:: 木制食盘的；有关膳食的¦n::trencher:: 挖沟者；木盘；战壕兵		 t + rench(看作bench， 长凳) → 像长凳一样狭长的地区 → 沟， 壕沟			
vain	ven	veɪn	adj::徒劳的，无效果的；自负的；不尊敬的::someone who is vain is too proud of their good looks, abilities, or position – used to show disapproval	in vain::徒然；无效¦vain glory::虚荣	Men can be just as vain as women.::男人有时会和女人一样虚荣。	adj::徒劳的；虚荣的；空虚的::empty, blank	adj::vainglorious:: 虚荣心强的；非常自负的¦adv::vainly:: 徒劳地；无益地；枉然地¦n::vainglory:: 虚荣；自负					
exempt	ɪg'zɛmpt	ɪg'zem(p)t; eg-	vt&a::免除，被豁免的::	exempt from::豁免，免除¦exempt from tax::免税¦tax exempt::免税的	So we have the current argument over how much of the derivative market will be exempt from regulation.::所以我们就看到了当前有关衍生产品市场到底有多大份额可以得到规则的豁免的辩论。¦All the new rules do is exempt the user from legal liability - something Apple does not appear to be pursuing anyway.::新法规做到的仅仅是免除了用户的法律责任 - 看起来苹果本来也不打算追究这种责任。¦So empirical approaches to literature, the simple observation of data from which one can generalize -they exempt these from the general charge against literary theory.::文学的经验主义研究方法，对我们所概括的事物的简单数据观察,对文学理论的普遍控诉中,他们免除了这些。	vt::免除；豁免::discharge, forgive	n::exemption:: 免除，豁免；免税					
mask	mæsk	mɑːsk	n::面具；口罩::something that covers all or part of your face, to protect or to hide it¦v::遮蔽，伪装::If one thing masks another, it prevents people from noticing or recognizing the other thing	face mask::面罩；面具¦oxygen mask::n. 氧气面罩¦shadow mask::荫罩；障板¦subnet mask::n. 子网掩码¦gas mask::[化]防毒面具，毒气面具¦surgical mask::医用口罩；手术口罩；外科医生的口罩¦under the mask of::在…假面具下；假借…之名；假称；假托¦protective mask::防毒面具¦solder mask::焊接掩模；焊接淹模¦mask off::[计]屏蔽	a surgical face mask::外科手术口罩¦He was attacked and robbed by two people wearing masks .::他被两个蒙面人袭击并抢劫。¦He was squinting through the smoke that masked the enemy.::他眯眼看着遮住敌人的那片烟雾。	n::面具；口罩；掩饰::blind, face-piece¦vi::掩饰；戴面具；化装::dissimulate, make sb up¦vt::掩饰；戴面具；使模糊::belie, disguise	adj::masked:: 戴面具的；掩蔽的¦n::masking:: 掩蔽；隐蔽¦n::masker:: 戴面具的人¦v::masking:: 戴面具；掩饰；化装（mask的ing形式）¦v::masked:: 戴面具；掩饰；使模糊（mask的过去分词）					
dwell	dwɛl	dwel	v::居住；详述::to live in a particular place	dwell on::详述；细想¦dwell time::保压时间；停延时间¦dwell upon::深思；细想；仔细想	They dwelt in the forest.::他们住在森林里。	vi::居住；存在于；细想某事::belong, room, harbor, live, reside in						
misgiving	,mis'ɡiviŋ	mɪs'gɪvɪŋ	n::怀疑，疑虑::a feeling of doubt or fear about what might happen or about whether something is right		Opponents of nuclear energy have deep misgivings about its safety.::反核能人士非常担心核能的安全性。¦She eyed the distant shoreline with misgiving.::她担忧地望着远方的海岸线。	n::担忧；疑虑；不安::tension, uneasy about¦v::担忧；使…疑虑；害怕（misgive的ing形式）::dreading	vi::misgive:: 疑虑；怀疑，恐惧¦vt::misgive:: 使怀疑；使担心					
vex	vɛks	veks	v::使烦恼，使苦恼::to make someone feel annoyed or worried		It vexed me to think of others gossiping behind my back.::想到别人在我背后说闲话让我很恼火。	vt::使烦恼；使困惑；使恼怒::trouble, irk¦vi::烦恼::trouble, worry, bother about	adj::vexed:: 生气的，烦恼的，恼怒的；为难的；焦急的¦adj::vexing:: 令人烦恼的¦adj::vexatious:: 令人烦恼的；麻烦的；无理纠缠的¦n::vexation:: 苦恼；恼怒；令人烦恼的事¦v::vexing:: （使）烦恼；（使）苦恼（vex的ing形式）					
fare	fɛr	feə	n::车(船)费::a passenger in a taxi	bus fare::公共汽车票钱；公车票；公车费率¦air fare::飞机票价；航空费用；航空票价¦taxi fare::的士收费；出租汽车费¦bill of fare::菜谱，菜单；节目单¦car fare::交通费¦ticket fare::票价¦full fare::全程票价；全价票	He could barely afford the fare.::他几乎付不起车费。	vi::经营；进展；遭遇；过活::round, advance¦n::票价；费用；旅客；食物::passenger, food, fee, charge, diet			 若愿与我同行， 我不在乎(care)船费(fare)			
external	ɪk'stɝnl	ɪk'stɜːn(ə)l; ek-	adj::外面的，外部的::relating to the outside of something or of a person’s body	external environment::外环境¦external force::外力¦external wall::外墙；外堤¦external economy::外部经济¦external pressure::外部压力¦external condition::外在环境，外界条件¦external appearance::外观；外形¦external world::外在世界¦for external use::外用；外用的；外用药¦external application::外用¦external magnetic field::外部磁场，外磁场¦external trade::对外贸易¦external factor::外在因素，外因；外来因素¦external power::外功率，外电源¦external surface::外表面¦external disturbance::外扰，外部干扰¦external form::外形¦external insulation::外绝缘¦external debt::外债¦external cause::外因	the external appearance of the building::大楼的外观	adj::[药][动]外部的；表面的；外用的；外国的；外面的::foreign, outer, outside, surface, out¦n::外部；外观；外面::outside, without, surface, face, garment	adj::exterior:: 外部的；表面的；外在的¦adj::extern:: 外面的，外来的¦adv::externally:: 外部地；外表上，外形上¦n::exterior:: 外部；表面；外型；外貌¦n::externality:: 外在性；外形；外部事物¦n::extern:: 走读生；走读医学研究生¦n::externalisation:: 外在化（等于externalization）¦n::externalization:: 具体化；外表化；客观化¦vt::externalize:: 给…以外形；使具体化，使客观化¦vt::externalise:: 使……形象化，外化（等于externalize）		 ex(外) + ternal → 外面的			
